environment,model,state_id,task_id,method,variant,adaptation_seed,projection_seed,horizon,whitened_geometry_rmse
PushT,jepa_wm_pusht,53,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,1.0219401151518848
PushT,jepa_wm_pusht,53,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.7242315983836239
PushT,jepa_wm_pusht,53,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.7642379332588087
PushT,jepa_wm_pusht,54,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,1.538778307447784
PushT,jepa_wm_pusht,54,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,1.2286284030708854
PushT,jepa_wm_pusht,54,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,1.155676856152187
PushT,jepa_wm_pusht,55,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,1,0.6757408854811466
PushT,jepa_wm_pusht,55,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,3,0.7315601487221267
PushT,jepa_wm_pusht,55,6,fidelity_constrained_latent_only,fidelity_constrained_latent_only__seed11401,11401,14011,6,0.7078213358744673
PushT,jepa_wm_pusht,8,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,0.9614909810950488
PushT,jepa_wm_pusht,8,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.889438307670525
PushT,jepa_wm_pusht,8,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.809060708667799
PushT,jepa_wm_pusht,9,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,1.2672138312791217
PushT,jepa_wm_pusht,9,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.9125797718767563
PushT,jepa_wm_pusht,9,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.8427127021058587
PushT,jepa_wm_pusht,10,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,1.3312665393142227
PushT,jepa_wm_pusht,10,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,1.1684693265134292
PushT,jepa_wm_pusht,10,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.9929397958392921
PushT,jepa_wm_pusht,11,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,1.5926055903088707
PushT,jepa_wm_pusht,11,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.9139736841136922
PushT,jepa_wm_pusht,11,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.8636931136583101
PushT,jepa_wm_pusht,12,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,1.1604301337854042
PushT,jepa_wm_pusht,12,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.8632627223234214
PushT,jepa_wm_pusht,12,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.7527040456736701
PushT,jepa_wm_pusht,13,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,1.2758411375985772
PushT,jepa_wm_pusht,13,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.9154345467191799
PushT,jepa_wm_pusht,13,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.8249369006328898
PushT,jepa_wm_pusht,14,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,0.5128153058817897
PushT,jepa_wm_pusht,14,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.6393595605091319
PushT,jepa_wm_pusht,14,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.6944512620964771
PushT,jepa_wm_pusht,15,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,0.618968493955899
PushT,jepa_wm_pusht,15,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.7604286572545356
PushT,jepa_wm_pusht,15,1,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.7620138791980624
PushT,jepa_wm_pusht,16,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,1.239625864250672
PushT,jepa_wm_pusht,16,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,1.047572448913185
PushT,jepa_wm_pusht,16,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,1.067316403931
PushT,jepa_wm_pusht,17,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,0.6192062561992
PushT,jepa_wm_pusht,17,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.8740632989624231
PushT,jepa_wm_pusht,17,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.7904936125376316
PushT,jepa_wm_pusht,18,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,0.5942154068004958
PushT,jepa_wm_pusht,18,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.6932822594724212
PushT,jepa_wm_pusht,18,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.7292720970120286
PushT,jepa_wm_pusht,19,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,0.8234974753121252
PushT,jepa_wm_pusht,19,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.7430049947472553
PushT,jepa_wm_pusht,19,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.6863526671113961
PushT,jepa_wm_pusht,20,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,0.9969881126792751
PushT,jepa_wm_pusht,20,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.769205345731675
PushT,jepa_wm_pusht,20,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.7955058717039374
PushT,jepa_wm_pusht,21,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,0.6328588876573699
PushT,jepa_wm_pusht,21,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.8537912893223538
PushT,jepa_wm_pusht,21,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.8345529216569064
PushT,jepa_wm_pusht,22,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,0.6769016801293581
PushT,jepa_wm_pusht,22,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.8324445494510614
PushT,jepa_wm_pusht,22,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.7338113639276714
PushT,jepa_wm_pusht,23,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,0.9138631212524578
PushT,jepa_wm_pusht,23,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.6516366285458586
PushT,jepa_wm_pusht,23,2,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.7227990119048775
PushT,jepa_wm_pusht,48,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,1.7643467909573385
PushT,jepa_wm_pusht,48,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.8516628381298473
PushT,jepa_wm_pusht,48,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.783393263806054
PushT,jepa_wm_pusht,49,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,1.2125782435354913
PushT,jepa_wm_pusht,49,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.83796969406037
