environment,model,state_id,task_id,variant,method,adaptation_seed,decoder_index,decoder_projection_seed,horizon,certificate_bound,normalized_gap,certificate_normalized_regret_q,conventional_normalized_regret,regret_bound_holds,top1_certified,top1_correct,selected_action,oracle_action
PushT,jepa_wm_pusht,22,2,frozen,frozen,-1,2,13537,6,0.6724558342494427,0.16420548128968346,0.0,0.0,True,False,True,4,4
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,0,13501,1,1.922437593976827,0.020457435985849055,0.8184373479905506,0.8184373479905506,True,False,False,6,9
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,1,13519,1,1.8816409422603213,0.020457435985849055,0.8184373479905506,0.8184373479905506,True,False,False,6,9
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,2,13537,1,2.0387371838281267,0.020457435985849055,0.5842417127270264,0.5842417127270264,True,False,False,4,9
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,0,13501,3,1.4028865205456371,0.00801155301203528,0.10029137060733691,0.10029137060733691,True,False,False,2,9
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,1,13519,3,0.754019922752642,0.00801155301203528,0.13340500380456333,0.13340500380456333,True,False,False,1,9
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,2,13537,3,1.557282311530272,0.00801155301203528,0.24599877825290165,0.24599877825290165,True,False,False,4,9
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,0,13501,6,1.3271418285752867,0.005423206725342201,0.00624987304378611,0.00624987304378611,True,False,False,3,9
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,1,13519,6,1.2395216875694433,0.005423206725342201,0.10275826883957667,0.10275826883957667,True,False,False,4,9
PushT,jepa_wm_pusht,23,2,frozen,frozen,-1,2,13537,6,1.4104105400350222,0.005423206725342201,0.10275826883957667,0.10275826883957667,True,False,False,4,9
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,0,13501,1,3.445139144172333,0.010481511777836317,1.0,1.0,True,False,False,8,9
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,1,13519,1,3.782639642929537,0.010481511777836317,0.10419362947361568,0.10419362947361568,True,False,False,5,9
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,2,13537,1,2.363761410422394,0.010481511777836317,0.09012243500443963,0.09012243500443963,True,False,False,0,9
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,0,13501,3,1.1480812142844552,0.03292797551033872,0.03292797551033872,0.03292797551033872,True,False,False,7,5
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,1,13519,3,0.4976304977347826,0.03292797551033872,0.03292797551033872,0.03292797551033872,True,False,False,7,5
