environment,model,state_id,task_id,variant,method,adaptation_seed,horizon,native_anchor
PushT,jepa_wm_pusht,9,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.06784796714782715
PushT,jepa_wm_pusht,9,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.07390491664409637
PushT,jepa_wm_pusht,10,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.05921567603945732
PushT,jepa_wm_pusht,10,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.11320264637470245
PushT,jepa_wm_pusht,10,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.1272103637456894
PushT,jepa_wm_pusht,11,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.08160132169723511
PushT,jepa_wm_pusht,11,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.0685632973909378
PushT,jepa_wm_pusht,11,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.07901067286729813
PushT,jepa_wm_pusht,12,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.046000659465789795
PushT,jepa_wm_pusht,12,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.055299900472164154
PushT,jepa_wm_pusht,12,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.06192621961236
PushT,jepa_wm_pusht,13,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.06416413187980652
PushT,jepa_wm_pusht,13,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.08368042856454849
PushT,jepa_wm_pusht,13,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.0722522884607315
PushT,jepa_wm_pusht,14,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.01990923471748829
PushT,jepa_wm_pusht,14,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.04246211424469948
PushT,jepa_wm_pusht,14,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.05293407291173935
PushT,jepa_wm_pusht,15,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.02250216156244278
PushT,jepa_wm_pusht,15,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.06773167103528976
PushT,jepa_wm_pusht,15,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.07496244460344315
PushT,jepa_wm_pusht,16,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.06195099279284477
PushT,jepa_wm_pusht,16,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.1404324322938919
PushT,jepa_wm_pusht,16,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.15463311970233917
PushT,jepa_wm_pusht,17,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.028573598712682724
PushT,jepa_wm_pusht,17,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.059391796588897705
PushT,jepa_wm_pusht,17,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.060337476432323456
PushT,jepa_wm_pusht,18,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.019786367192864418
PushT,jepa_wm_pusht,18,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.03972792997956276
PushT,jepa_wm_pusht,18,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.05467677116394043
PushT,jepa_wm_pusht,19,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.03063972480595112
PushT,jepa_wm_pusht,19,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.04861990362405777
PushT,jepa_wm_pusht,19,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.057682428508996964
PushT,jepa_wm_pusht,20,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.03460845723748207
PushT,jepa_wm_pusht,20,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.04739022254943848
PushT,jepa_wm_pusht,20,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.05794471129775047
PushT,jepa_wm_pusht,21,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.02680012583732605
PushT,jepa_wm_pusht,21,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.055121153593063354
PushT,jepa_wm_pusht,21,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.074217788875103
PushT,jepa_wm_pusht,22,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.02037563920021057
PushT,jepa_wm_pusht,22,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.06738823652267456
PushT,jepa_wm_pusht,22,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.06011657416820526
PushT,jepa_wm_pusht,23,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.031275928020477295
PushT,jepa_wm_pusht,23,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.036171890795230865
PushT,jepa_wm_pusht,23,2,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.05885937809944153
PushT,jepa_wm_pusht,48,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.0898493304848671
PushT,jepa_wm_pusht,48,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.05075575038790703
PushT,jepa_wm_pusht,48,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.055579278618097305
PushT,jepa_wm_pusht,49,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.04532336816191673
PushT,jepa_wm_pusht,49,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.05556214973330498
PushT,jepa_wm_pusht,49,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.04788050800561905
PushT,jepa_wm_pusht,50,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.04057072848081589
PushT,jepa_wm_pusht,50,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.0604802742600441
PushT,jepa_wm_pusht,50,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.11123711615800858
PushT,jepa_wm_pusht,51,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.053414568305015564
PushT,jepa_wm_pusht,51,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.05502256751060486
PushT,jepa_wm_pusht,51,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.06806140393018723
PushT,jepa_wm_pusht,52,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.021602695807814598
PushT,jepa_wm_pusht,52,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.04394116625189781
PushT,jepa_wm_pusht,52,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.05565088987350464
PushT,jepa_wm_pusht,53,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.03895864263176918
PushT,jepa_wm_pusht,53,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.047573816031217575
PushT,jepa_wm_pusht,53,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.06585635989904404
PushT,jepa_wm_pusht,54,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.07723530381917953
PushT,jepa_wm_pusht,54,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.1141100749373436
PushT,jepa_wm_pusht,54,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.12916819751262665
PushT,jepa_wm_pusht,55,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.027174971997737885
PushT,jepa_wm_pusht,55,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.06678479164838791
PushT,jepa_wm_pusht,55,6,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.06229265034198761
