environment,model,state_id,task_id,variant,method,adaptation_seed,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,selected_action,oracle_action
PushT,jepa_wm_pusht,53,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.0,0.9856538405971085,1.0,5,5
PushT,jepa_wm_pusht,53,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.0,0.8505177723300528,1.0,5,5
PushT,jepa_wm_pusht,54,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,0.5144474869020803,0.8330901466770251,0.0,7,4
PushT,jepa_wm_pusht,54,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,0.3056015488280241,0.7874085754631294,0.0,6,4
PushT,jepa_wm_pusht,54,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,0.0,0.8567130329659911,1.0,4,4
PushT,jepa_wm_pusht,55,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,1,1.0,0.0,0.0,6,0
PushT,jepa_wm_pusht,55,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,3,1.0,0.3198842288095905,0.0,6,8
PushT,jepa_wm_pusht,55,6,fidelity_constrained_latent_only__seed11401,fidelity_constrained_latent_only,11401,6,1.0,0.34239571110119144,0.0,6,3
PushT,jepa_wm_pusht,8,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.01282478008355127,0.8882608281952827,0.0,6,1
PushT,jepa_wm_pusht,8,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.0,0.6353265671014008,1.0,6,6
PushT,jepa_wm_pusht,8,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.5781148528381919,0.17204267658312025,0.0,8,1
PushT,jepa_wm_pusht,9,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.8274135674934155,0.010384531390538817,0.0,7,0
PushT,jepa_wm_pusht,9,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.7286493483691098,0.1223815342466599,0.0,7,2
PushT,jepa_wm_pusht,9,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.8502269524673542,0.2801698707998015,0.0,7,3
PushT,jepa_wm_pusht,10,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.12049358852617963,0.9732011083872997,0.0,4,1
PushT,jepa_wm_pusht,10,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.6177998268323661,0.7957491777340341,0.0,2,6
