model,ridge,held_out_group,mse
countsketch_1152_15173,1000000.0,0,1.4506967178386643
countsketch_1152_15173,1000000.0,2,1.6254462108095018
countsketch_1152_15173,1000000.0,4,2.190501340551459
countsketch_1152_15173,1000000.0,6,1.3103158569009152
countsketch_1152_15173,1000000.0,mean,1.6442400315251353
countsketch_1152_15187,0.0001,0,0.7982607560877116
countsketch_1152_15187,0.0001,2,1.1460037244431507
countsketch_1152_15187,0.0001,4,1.5250427073135637
countsketch_1152_15187,0.0001,6,0.7500811870815626
countsketch_1152_15187,0.0001,mean,1.054847093731497
countsketch_1152_15187,0.001,0,0.7981509097261343
countsketch_1152_15187,0.001,2,1.1460272670463811
countsketch_1152_15187,0.001,4,1.5250493876566236
countsketch_1152_15187,0.001,6,0.7500643218435458
countsketch_1152_15187,0.001,mean,1.0548229715681712
countsketch_1152_15187,0.01,0,0.7970589774806932
countsketch_1152_15187,0.01,2,1.1462604404746641
countsketch_1152_15187,0.01,4,1.5251144008235151
countsketch_1152_15187,0.01,6,0.7498963409043696
countsketch_1152_15187,0.01,mean,1.0545825399208104
countsketch_1152_15187,0.1,0,0.7867839575222119
countsketch_1152_15187,0.1,2,1.148452407054259
countsketch_1152_15187,0.1,4,1.5256169928911714
countsketch_1152_15187,0.1,6,0.7483151877443042
countsketch_1152_15187,0.1,mean,1.0522921363029867
countsketch_1152_15187,1.0,0,0.7242550169762076
countsketch_1152_15187,1.0,2,1.1661489935614668
countsketch_1152_15187,1.0,4,1.5258454110500035
countsketch_1152_15187,1.0,6,0.7409588491221547
countsketch_1152_15187,1.0,mean,1.0393020676774583
countsketch_1152_15187,10.0,0,0.6188737417527417
countsketch_1152_15187,10.0,2,1.2098484226656634
countsketch_1152_15187,10.0,4,1.518902588843192
countsketch_1152_15187,10.0,6,0.7319242882165857
countsketch_1152_15187,10.0,mean,1.0198872603695457
countsketch_1152_15187,100.0,0,0.5919206420736105
countsketch_1152_15187,100.0,2,1.205409159135246
countsketch_1152_15187,100.0,4,1.5214236425659395
countsketch_1152_15187,100.0,6,0.7247068759246738
countsketch_1152_15187,100.0,mean,1.0108650799248675
countsketch_1152_15187,1000.0,0,0.6815111728697089
countsketch_1152_15187,1000.0,2,1.23296129146799
countsketch_1152_15187,1000.0,4,1.5512869527331863
countsketch_1152_15187,1000.0,6,0.7787971642097222
countsketch_1152_15187,1000.0,mean,1.0611391453201517
countsketch_1152_15187,10000.0,0,0.9068571711825674
countsketch_1152_15187,10000.0,2,1.280942286688342
countsketch_1152_15187,10000.0,4,1.7255022605017027
countsketch_1152_15187,10000.0,6,0.8034803291429246
countsketch_1152_15187,10000.0,mean,1.1791955118788842
countsketch_1152_15187,100000.0,0,1.1959019083816371
countsketch_1152_15187,100000.0,2,1.3796870445779994
countsketch_1152_15187,100000.0,4,1.9936737710774124
countsketch_1152_15187,100000.0,6,0.9742572666272451
countsketch_1152_15187,100000.0,mean,1.3858799976660736
countsketch_1152_15187,1000000.0,0,1.4395409761762608
countsketch_1152_15187,1000000.0,2,1.6290718940961626
countsketch_1152_15187,1000000.0,4,2.1847314756282725
countsketch_1152_15187,1000000.0,6,1.3249011844405292
