environment,state_id,task_id,split,planner,method,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,normalized_margin_rmse,transition_seeds_averaged
PushT,81,10,probe_calibration,goal_permuted_metric,target_oracle,3,0.0,0.816040742085561,1.0,1.8846118925283462,1
PushT,81,10,probe_calibration,goal_permuted_metric,target_oracle,6,0.0,0.5448969570128935,1.0,1.4855347623339845,1
PushT,82,10,probe_calibration,goal_permuted_metric,target_oracle,1,0.11730200669440753,0.20036647843004743,0.0,1.483192373975543,1
PushT,82,10,probe_calibration,goal_permuted_metric,target_oracle,3,0.06219646913018014,0.9533700338042008,0.0,1.4239770804639071,1
PushT,82,10,probe_calibration,goal_permuted_metric,target_oracle,6,1.0,0.47674795703191897,0.0,2.2413607564007867,1
PushT,83,10,probe_calibration,goal_permuted_metric,target_oracle,1,1.0,0.5555555555555556,0.0,1.6915563176521902,1
PushT,83,10,probe_calibration,goal_permuted_metric,target_oracle,3,0.995913811867265,0.07327941310616012,0.0,2.0876552669733783,1
PushT,83,10,probe_calibration,goal_permuted_metric,target_oracle,6,0.8632379851104428,0.7762113725257654,0.0,1.3012786541237782,1
PushT,84,10,probe_calibration,goal_permuted_metric,target_oracle,1,0.0,0.9792281546683796,1.0,0.6981321394774856,1
PushT,84,10,probe_calibration,goal_permuted_metric,target_oracle,3,0.1263654193081281,0.902625214367894,0.0,1.1155446035594088,1
PushT,84,10,probe_calibration,goal_permuted_metric,target_oracle,6,0.11054215307604427,0.7236580186246444,0.0,1.4380708746492215,1
PushT,85,10,probe_calibration,goal_permuted_metric,target_oracle,1,0.2713421732734029,0.8705838226483281,0.0,0.830640594082259,1
PushT,85,10,probe_calibration,goal_permuted_metric,target_oracle,3,1.0,0.3327614907080239,0.0,3.3695016280494356,1
PushT,85,10,probe_calibration,goal_permuted_metric,target_oracle,6,0.5367606987781588,0.5938983323257271,0.0,2.0047869340050237,1
PushT,86,10,probe_calibration,goal_permuted_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,86,10,probe_calibration,goal_permuted_metric,target_oracle,3,0.15698085537713355,0.7705337294032114,0.0,1.7735100274657367,1
PushT,86,10,probe_calibration,goal_permuted_metric,target_oracle,6,0.0,0.5226200744531445,1.0,3.0073672672164067,1
PushT,87,10,probe_calibration,goal_permuted_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,87,10,probe_calibration,goal_permuted_metric,target_oracle,3,0.23959259644456535,0.788834008336323,0.0,1.1267244667411107,1
PushT,87,10,probe_calibration,goal_permuted_metric,target_oracle,6,0.001053274299145812,0.7582831690107845,0.0,1.1311148248004759,1
PushT,32,4,probe_calibration,native_metric,target_oracle,1,1.0,0.5078672452771695,0.0,0.998305653887822,1
PushT,32,4,probe_calibration,native_metric,target_oracle,3,0.0,0.40143785265135884,1.0,1.0735042588633612,1
PushT,32,4,probe_calibration,native_metric,target_oracle,6,0.0,0.6798787596881568,1.0,0.8902070557565517,1
PushT,33,4,probe_calibration,native_metric,target_oracle,1,0.8536428762521923,0.4474201715832722,0.0,1.0016169212864134,1
PushT,33,4,probe_calibration,native_metric,target_oracle,3,0.9921337842835259,0.06518070044264236,0.0,1.2561619647732147,1
PushT,33,4,probe_calibration,native_metric,target_oracle,6,1.0,0.2614437090197702,0.0,1.316910202040256,1
PushT,34,4,probe_calibration,native_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,34,4,probe_calibration,native_metric,target_oracle,3,1.0,0.5224470990636801,0.0,1.0065402122179938,1
PushT,34,4,probe_calibration,native_metric,target_oracle,6,1.0,0.5270245580309003,0.0,1.0826586113268546,1
PushT,35,4,probe_calibration,native_metric,target_oracle,1,0.2474784796195118,0.3836281050987934,0.0,1.0030054068404257,1
PushT,35,4,probe_calibration,native_metric,target_oracle,3,0.6150943994849778,0.4925357280551112,0.0,1.0156243577190847,1
PushT,35,4,probe_calibration,native_metric,target_oracle,6,1.0,0.3795620193168062,0.0,1.3514713189003764,1
PushT,36,4,probe_calibration,native_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,36,4,probe_calibration,native_metric,target_oracle,3,0.8004025642990937,0.7408309494508099,0.0,0.9460325468683277,1
PushT,36,4,probe_calibration,native_metric,target_oracle,6,0.2196899871585185,0.627254974824853,0.0,0.9830888462758871,1
PushT,37,4,probe_calibration,native_metric,target_oracle,1,0.0,0.9400796128742602,1.0,0.9871536025655955,1
PushT,37,4,probe_calibration,native_metric,target_oracle,3,0.012028898134571826,0.8998041030458204,0.0,0.7812774841484236,1
PushT,37,4,probe_calibration,native_metric,target_oracle,6,0.4599954468616342,0.6819582877194167,0.0,0.9511789069053063,1
PushT,38,4,probe_calibration,native_metric,target_oracle,1,1.0,0.335567499768784,0.0,1.0020448068415442,1
PushT,38,4,probe_calibration,native_metric,target_oracle,3,0.0,0.6712448742414281,1.0,0.9451804562986292,1
PushT,38,4,probe_calibration,native_metric,target_oracle,6,1.0,0.20815511619270824,0.0,1.3674104191447924,1
PushT,39,4,probe_calibration,native_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,39,4,probe_calibration,native_metric,target_oracle,3,0.6876368297105576,0.20734670801019023,0.0,1.1436784320685913,1
PushT,39,4,probe_calibration,native_metric,target_oracle,6,1.0,0.45272095058374,0.0,1.0658492796197194,1
PushT,56,7,probe_calibration,native_metric,target_oracle,1,0.06059397480240623,0.7399282758556112,0.0,0.9991558908681718,1
PushT,56,7,probe_calibration,native_metric,target_oracle,3,0.313338299375836,0.8396170508725441,0.0,0.8761839039832936,1
PushT,56,7,probe_calibration,native_metric,target_oracle,6,0.3957854378724918,0.42360139993125395,0.0,1.1610048488985845,1
PushT,57,7,probe_calibration,native_metric,target_oracle,1,0.0,0.8438190025021284,1.0,0.9946467761456048,1
PushT,57,7,probe_calibration,native_metric,target_oracle,3,0.9923564166597405,0.32780722107364,0.0,1.1494205191146072,1
PushT,57,7,probe_calibration,native_metric,target_oracle,6,1.0,0.1596312936230219,0.0,1.4075725433762896,1
